Popul AAA_T AAC_T AAG_T AAT_T CAA_T CAC_T CAG_T CAT_T GAA_T GAC_T GAG_T GAT_T TAA_T TAC_T TAG_T TAT_T AAA_C AAC_C AAG_C AAT_C CAA_C CAC_C CAG_C CAT_C GAA_C GAC_C GAG_C GAT_C TAA_C TAC_C TAG_C TAT_C AAA_G AAC_G AAG_G AAT_G CAA_G CAC_G CAG_G CAT_G GAA_G GAC_G GAG_G GAT_G TAA_G TAC_G TAG_G TAT_G ACA_T ACC_T ACG_T ACT_T CCA_T CCC_T CCG_T CCT_T GCA_T GCC_T GCG_T GCT_T TCA_T TCC_T TCG_T TCT_T ACA_G ACC_G ACG_G ACT_G CCA_G CCC_G CCG_G CCT_G GCA_G GCC_G GCG_G GCT_G TCA_G TCC_G TCG_G TCT_G ACA_A ACC_A ACG_A ACT_A CCA_A CCC_A CCG_A CCT_A GCA_A GCC_A GCG_A GCT_A TCA_A TCC_A TCG_A TCT_A
YRI_AFR 66562 33764 29813 65260 27932 37554 39772 71372 28847 28863 30521 59896 75799 22266 22155 67212 149290 37976 49460 54094 61389 51951 56007 62479 40657 16826 37252 25516 50005 21513 24795 44811 192515 134781 137206 336057 139453 165552 220701 396053 107088 73006 93340 120180 146523 123716 114557 391800 310305 185977 479336 212852 206340 200435 438690 251005 165062 178342 362540 184854 177326 183315 290210 194320 79961 49848 19640 82465 52556 69040 25299 79323 39363 46657 16139 50928 68342 64981 19955 132269 96064 104573 26312 54007 60230 61794 22258 48613 76985 70089 31424 45500 59654 61001 16824 91491
GWD_AFR 67411 34025 29960 65818 28267 37940 40279 72114 29131 29330 30946 60434 76478 22539 22410 66980 150729 37432 49964 54736 62061 51475 56570 63172 40976 16900 37692 25891 50554 21359 24999 45240 194421 136167 138423 339635 140862 166580 222718 401017 108246 73514 94469 121643 148381 125151 115848 396369 313597 187754 484920 215288 208838 202841 444273 253934 167122 180724 366015 186614 179234 185452 293557 195086 80826 50433 19860 83510 52901 69824 25572 80059 39651 47110 16250 51317 68920 65497 20127 133373 95672 105593 26511 54830 61013 62436 22641 49024 78087 70823 31657 46102 60181 61640 17015 92370
MSL_AFR 65741 33288 29228 64316 27769 36878 39452 70662 28277 28474 30143 59092 74222 22021 21959 65584 147687 36652 48822 53646 60864 51559 55571 61842 40168 16567 36877 25303 49779 20975 24576 44359 190290 133333 135731 332670 137763 163120 218190 391500 105926 72305 92728 119004 144908 122600 113185 387716 305885 183077 473746 209915 203524 197495 433008 247880 162964 176068 357364 182472 174729 181059 286780 190823 79126 49327 19504 81336 52022 68220 25013 78068 38630 45879 16047 49951 67703 63955 19726 130418 93667 103315 25912 53597 59352 61025 22053 48002 76209 69202 31160 44969 58773 60225 16509 90264
LWK_AFR 68032 34623 30421 67002 28932 38364 41029 73503 29527 29566 31362 61482 77711 22953 22785 70277 153003 39102 50954 55432 62938 52853 57591 64215 41736 17272 38240 26182 51286 22095 25360 45905 197303 138372 140764 345328 142692 169355 226049 406869 110078 74898 95543 123532 149895 127603 118082 402604 318907 191717 493532 219154 212127 206605 451291 258441 169868 183686 372224 190136 182028 189360 298135 201019 82290 51248 20031 84875 54085 70791 25688 81401 40506 47839 16293 52323 70353 66712 20346 135566 99149 107411 26904 55759 61973 63273 22820 49948 79168 72129 32098 46740 61238 62719 17249 93892
ESN_AFR 65375 33050 29180 63974 27482 36764 39041 70125 28238 28202 30064 58660 74184 21960 21568 65175 146377 36227 48484 53090 60222 50719 54877 61535 39992 16476 36440 25086 49250 20785 24313 43873 188695 132319 134484 329563 137255 162997 217421 390221 104902 71660 91821 117990 143609 121293 112547 384107 304132 182012 469367 208607 201829 196296 430047 245915 161700 174469 354893 180840 173534 179447 284381 189437 78415 49029 19350 80720 51466 67606 24915 77533 38499 45576 15912 49860 67041 63744 19568 129301 92959 102394 25768 52996 59071 60707 21904 47618 75443 68692 30859 44514 58272 59795 16559 89687
ACB_AFR 67345 34216 30061 65799 28395 37828 40072 72163 29029 29247 30914 60548 76288 22446 22443 66561 151030 37345 49886 54707 61982 51028 56821 63105 41153 16927 37628 25840 50472 21316 25000 45227 194364 136118 138654 339339 141002 167047 222964 400537 108235 73550 93789 121279 147762 125276 116170 395962 313345 188437 484440 215759 208140 203155 444105 253900 167353 180849 366782 187176 178793 187597 293633 195872 80705 50436 19798 83353 52892 69800 25607 80015 39593 46838 16288 51267 68987 65922 20113 133310 95238 105596 26469 54682 60762 62552 22508 49193 77545 70822 31683 46072 60040 61808 16907 92209
ASW_AFR 59294 29873 26160 57844 24789 33167 35170 63130 25222 25405 26971 52867 67336 19668 19584 58845 132904 33426 43604 47933 54445 44905 49346 55517 36093 14811 32944 22721 44679 18908 21867 39968 170443 119092 121484 296549 123223 146820 195786 350250 94934 64762 82195 106017 129859 109658 102027 346717 272405 164104 420839 187589 180808 176988 385250 220634 145143 157191 318896 162313 154832 163718 254338 170485 70560 44143 17492 72633 45959 60505 22493 69076 34226 40841 14322 44279 59942 57094 17793 116072 83581 92156 23316 47553 52769 54285 19812 42761 67415 61371 27748 39972 51869 53287 14855 80157
MXL_AMR 37062 18555 15965 35918 15174 20793 21514 38865 15352 15574 16882 32417 42994 11918 11973 37008 83224 21064 26623 29359 33962 28284 30289 34238 22382 9265 20326 14117 27688 12071 13456 25650 105453 72889 74881 180994 78313 94725 124317 220765 59266 40235 51051 65523 80122 67473 63040 214319 165370 100669 255867 114537 107508 107861 231784 133314 87723 95672 193823 98685 93377 104954 153006 106742 43090 27198 11000 44173 27684 36952 14073 41412 20536 24787 9236 26696 36180 34532 11260 70619 52362 56437 14607 28970 31720 33186 12252 25751 40356 36949 17364 24057 31164 32037 9087 48639
PUR_AMR 51716 26295 22900 50857 21588 29194 30333 55059 22205 22325 23873 46567 58984 16982 17042 51592 115987 29510 37815 41603 47707 40229 43061 48197 31489 13206 28509 19772 39025 16904 18884 35189 148855 103625 105763 257513 107857 128632 170779 306682 83554 56428 72219 92747 114294 95500 89405 303550 237141 147195 368114 164960 155998 156592 335182 191897 127067 138283 278912 142733 136608 155399 222104 154511 61508 38282 15262 63117 39804 52910 19752 60089 29780 35610 12734 38653 51899 49574 15708 100789 73817 80847 20321 41619 45728 47404 17130 36893 57870 53245 24275 34564 45039 46315 12877 69436
CLM_AMR 45777 23086 20124 44605 18991 25760 26730 48510 19360 19603 21022 40783 52478 14914 14867 45669 102759 26026 33271 36560 42150 35893 38053 42578 27708 11837 25124 17447 34465 14848 16779 31301 130875 90921 93214 226149 96168 115390 152088 272263 73623 49950 63761 81679 100486 84158 78839 266739 207343 128745 323053 145022 136315 137179 294017 168498 111111 120977 245101 124793 119113 136420 194485 135576 53926 33727 13668 55198 34953 46656 17476 52414 26198 31268 11474 33781 45381 43306 13934 88399 65042 70917 18018 36458 40003 41631 15212 32327 50911 46550 21511 30222 39220 40448 11293 60983
